Title,Section,Order,Search,Primary URL,Primary URL Label,Link1 URL,Link1 URL Label,Link2 URL,Link2 URL Label,Link3 URL,Link3 URL Label
Twitch,favorites,1,twitch twitch.tv streaming,https://www.twitch.tv,Twitch,,,,,,
Gmail,favorites,2,gmail email google,https://www.gmail.com,Gmail,,,,,,
Youtube,favorites,3,youtube video,https://www.youtube.com,Youtube,,,,,,
Lil Sebastian,projects-personal,1,lil sebastian scavenger hunt horse,https://bearnax.github.io/limited-grammar/,Live,https://github.com/bearnax/limited-grammar,Repo,,,,
MML Simulator,projects-personal,2,mml march madness basketball simulator,https://github.com/bearnax/hq,Repo,,,,,,
Elden Ring Build Selector,projects-personal,3,elden ring build selector,https://bearnax.github.io/potential-chainsaw/,Live,https://github.com/bearnax/potential-chainsaw,Repo,,,,
My-Links (this site),projects-personal,4,my links personal bookmarks,https://bearnax.github.io/my-links/,Live,https://github.com/bearnax/my-links,Repo,,,,
Customer Feedback Loop,projects-personal,5,customer feedback loop llm,https://github.com/bearnax/miniature-succotash,Repo,,,,,,
Personal Elden Ring (google sheets),nerd-alert,1,elden ring google sheets weapons,https://docs.google.com/spreadsheets/d/1RYeJTBAWSoCjFOFpsF0qLeKUQNjtJN_BdOQy7ijERbY/edit?usp=sharing,Personal Elden Ring (google sheets),,,,,,
AR Calculator (tclark),nerd-alert,2,elden ring weapon ar calculator basic,https://eldenring.tclark.io/,AR Calculator (tclark),,,,,,
AR Calculator (Pro),nerd-alert,3,elden ring weapon ar calculator pro tarnished,https://www.tarnished.dev/weapon-calculator,AR Calculator (Pro),,,,,,
Elden Ring Wiki (Fextralife),nerd-alert,4,elden ring wiki fextralife,https://eldenring.wiki.fextralife.com/Elden+Ring+Wiki,Elden Ring Wiki (Fextralife),,,,,,
Take It Personal Podcast,projects-tip,1,take it personal podcast pod,https://www.takeitpersonalpodcast.com,Substack,,,,,,
The Newsroom,projects-tip,2,newsroom editorial content,https://github.com/bearnax/tip-newsroom,Repo,,,,,,
A.W. Sterling,projects-tip,3,aw sterling tip scout archive,https://github.com/bearnax/tip-scout,Repo,,,,,,
Feist,projects-tip,4,feist daily gm agent loop,https://github.com/bearnax/hq,Repo,,,,,,
Pitch Mill,projects-tip,5,pitch mill storylines,https://github.com/bearnax/tip-pitch-mill,Repo,,,,,,
by-will.net,projects-work,1,by-will personal site parked,https://by-will.net,by-will.net,,,,,,
Fibbly,projects-work,2,fibbly planning poker,https://github.com/bearnax/hq,Repo,,,,,,
Homepage,cnn,1,cnn homepage cnn.com,https://www.cnn.com,Homepage,,,,,,
Live Page,cnn,2,cnn live,https://www.cnn.com/videos/live,Live Page,,,,,,
Watch Page,cnn,3,cnn watch videos,https://www.cnn.com/videos,Watch Page,,,,,,
Headlines (FAST),cnn,4,cnn headlines,https://www.cnn.com/videos/fast/cnn-headlines,Headlines (FAST),,,,,,
Shorts,cnn,5,cnn shorts,https://www.cnn.com/shorts/cnn-shorts,Shorts,,,,,,
Will Brodnax,people,1,will brodnax me personal site github,https://www.willbrodnax.com,Website,https://github.com/bearnax,GitHub,,,,
Steph Garrett,people,2,steph garrett substack take it personal,https://substack.com/@steph4sum,Substack,,,,,,
Jamie Renell,people,3,jamie renell imdb,https://www.imdb.com/name/nm1143549/,IMDB,,,,,,
Ron Swanson,people,4,ron swanson parks and recreation pawnee,https://offermanwoodshop.com/,Website,https://en.wikipedia.org/wiki/Ron_Swanson,Wikipedia,https://www.imdb.com/name/nm0644406/,IMDB,,
Leslie Knope,people,5,leslie knope parks and rec,https://en.wikipedia.org/wiki/Leslie_Knope,Wikipedia,https://www.imdb.com/name/nm0688132/,IMDB,,,,
Tom Loftis,people,6,tom loftis widows bay,https://en.wikipedia.org/wiki/Matthew_Rhys,Wikipedia,https://www.imdb.com/name/nm0722629/,IMDB,,,,
