Label,URL,Project,Order
Live,https://bearnax.github.io/limited-grammar/,Lil Sebastian,1
Repo,https://github.com/bearnax/limited-grammar,Lil Sebastian,2
Repo,https://github.com/bearnax/hq,MML Simulator,1
Live,https://bearnax.github.io/potential-chainsaw/,Elden Ring Build Selector,1
Repo,https://github.com/bearnax/potential-chainsaw,Elden Ring Build Selector,2
Live,https://bearnax.github.io/my-links/,My-Links (this site),1
Repo,https://github.com/bearnax/my-links,My-Links (this site),2
Repo,https://github.com/bearnax/miniature-succotash,Customer Feedback Loop,1
Substack,www.takeitpersonalpodcast.com,Take It Personal Podcast,1
Repo,https://github.com/bearnax/tip-newsroom,The Newsroom,1
Repo,https://github.com/bearnax/tip-scout,A.W. Sterling,1
Repo,https://github.com/bearnax/hq,Feist,1
Repo,https://github.com/bearnax/tip-pitch-mill,Pitch Mill,1
Live,https://by-will.net,By-Will,1
Repo,https://github.com/bearnax/hq,Fibbly,1
