Name,URL,Search,Section,Order,Favorite,Favorite Order
My Personal Site,https://www.willbrodnax.com,personal site willbrodnax,quick-access,1,False,
GitHub (Bearnax),https://github.com/bearnax,github repos code bearnax,quick-access,2,False,
Github (Will-Brodnax),https://github.com/will-brodnax,github repos code will-brodnax,quick-access,3,False,
Personal Elden Ring (google sheets),https://docs.google.com/spreadsheets/d/1RYeJTBAWSoCjFOFpsF0qLeKUQNjtJN_BdOQy7ijERbY/edit?usp=sharing,elden ring google sheets weapons,nerd-alert,1,False,
AR Calculator (tclark),https://eldenring.tclark.io/,elden ring weapon ar calculator basic,nerd-alert,2,False,
AR Calculator (Pro),https://www.tarnished.dev/weapon-calculator,elden ring weapon ar calculator pro tarnished,nerd-alert,3,False,
Elden Ring Wiki (Fextralife),https://eldenring.wiki.fextralife.com/Elden+Ring+Wiki,elden ring wiki fextralife,nerd-alert,4,False,
Homepage,https://www.cnn.com,cnn homepage cnn.com,cnn,1,False,
Live Page,https://www.cnn.com/videos/live,cnn live,cnn,2,False,
Watch Page,https://www.cnn.com/videos,cnn watch videos,cnn,3,False,
Headlines (FAST),https://www.cnn.com/videos/fast/cnn-headlines,cnn headlines,cnn,4,False,
Shorts,https://www.cnn.com/shorts/cnn-shorts,cnn shorts,cnn,5,False,
Twitch,https://www.twitch.tv,twitch twitch.tv streaming,,,True,1
Gmail,https://www.gmail.com,gmail email google,,,True,2
Youtube,https://www.youtube.com,youtube video,,,True,3
